Wavelength [nm],Sitka,Broadleaf,Grass
690,283.864,258.4904,481.24
691,291.368,269.0824,505.4
692,300.384,282.5736,533.36
693,310.996,299.3544,566.92
694,323.344,319.6408,604.64
695,337.484,343.7072,645.64
696,353.136,372.0304,690.76
697,370.328,404.3232,739.68
698,388.976,440.3624,791.48
699,408.968,479.94,844.72
700,430.192,522.664,900.68
701,452.508,568.216,958
702,475.748,616.24,1015.16
703,499.688,666.128,1072.04
704,524.132,717.352,1129.08
705,548.996,769.544,1186.2
706,574.336,822.864,1242.8
707,600.292,876.816,1299.16
708,626.892,931.304,1355.24
709,653.996,986.464,1410.76
710,681.716,1042.208,1467
711,710.22,1098.608,1523.56
712,739.564,1155.624,1580
713,769.72,1213.016,1637.36
714,800.66,1270.872,1695.36
715,832.3,1329.136,1753.88
716,864.696,1387.592,1813.32
717,898.016,1446.152,1873.32
718,932.148,1504.776,1934.04
719,966.924,1563.48,1995.52
720,1002.288,1621.736,2057.96
721,1038.128,1679.456,2120.8
722,1074.332,1736.576,2183.6
723,1111.012,1792.88,2246.12
724,1147.776,1848.2,2309.04
725,1184.428,1902.408,2372.16
726,1221.024,1955.272,2434.32
727,1257.508,2006.792,2496.64
728,1293.628,2056.76,2558.64
729,1329.16,2104.952,2619.24
730,1364.048,2151.32,2678.68
731,1398.236,2195.92,2737.16
732,1431.612,2238.688,2794.76
733,1464.064,2279.384,2851.48
734,1495.368,2318.136,2906.64
735,1525.524,2354.928,2959.76
736,1554.7,2389.728,3010.4
737,1582.476,2422.68,3060.32
738,1608.908,2453.688,3108.52
739,1634.192,2482.648,3153.52
740,1658.104,2509.872,3196.52
741,1680.644,2535.248,3237.52
742,1701.868,2558.8,3276.2
743,1721.664,2580.672,3312.2
744,1740.06,2600.8,3346.48
745,1757.14,2619.216,3378.84
746,1772.904,2636,3408.48
747,1787.464,2651.408,3435.4
748,1800.848,2665.432,3460.32
749,1813.112,2678.12,3483.8
750,1824.228,2689.728,3504.84
751,1834.364,2700.168,3524.4
752,1843.632,2709.432,3542.76
753,1851.864,2717.632,3559.12
754,1859.452,2725.264,3574.36
755,1866.368,2732.304,3588.4
756,1872.556,2738.576,3600.72
757,1878.212,2744.072,3611.56
758,1883.28,2748.864,3621.88
759,1887.788,2753.072,3632.2
760,1891.988,2756.92,3641.4
761,1895.628,2760.344,3649
762,1898.764,2763.304,3655.52
763,1901.648,2765.808,3662.44
764,1904.252,2767.992,3668.4
765,1906.52,2769.92,3673.8
766,1908.452,2771.656,3679.2
767,1910.272,2773.104,3682.84
768,1911.98,2774.344,3686.12
769,1913.408,2775.368,3689.84
770,1914.472,2776.016,3692.44
771,1915.648,2776.616,3695.52
772,1916.964,2777.344,3698.84
773,1918.308,2778.184,3701.28
774,1919.12,2778.904,3703.64
775,1919.82,2779.496,3705.72
776,1920.744,2780,3707.52
777,1921.528,2780.496,3710.4
778,1922.312,2780.944,3713.12
779,1923.124,2781.36,3715.12
780,1923.852,2781.928,3716.6
781,1924.664,2782.528,3718.68
782,1925.56,2783.056,3721.36
783,1926.456,2783.56,3723.88
784,1927.24,2784.16,3724.72
785,1927.884,2784.768,3726.88
786,1928.472,2785.36,3731.16
787,1929.256,2785.976,3731.96
788,1929.928,2786.56,3733.44
789,1930.516,2787.088,3736.12
790,1931.244,2787.608,3738.24
791,1931.86,2788.168,3739.44
792,1932.448,2788.728,3740.36
793,1933.12,2789.216,3741.76
794,1933.82,2789.744,3743.36
795,1934.352,2790.336,3745.24
796,1934.716,2791,3747.16
797,1935.388,2791.52,3748.6
798,1935.948,2791.832,3750.24
