"","wavelength","beech_mean_reflectance"
"925",925,0.1557
"926",926,0.15566
"927",927,0.15573
"928",928,0.155856666666667
"929",929,0.156083333333333
"930",930,0.156463333333333
"931",931,0.156783333333333
"932",932,0.157116666666667
"933",933,0.157526666666667
"934",934,0.15797
"935",935,0.158383333333333
"936",936,0.158933333333333
"937",937,0.15963
"938",938,0.160253333333333
"939",939,0.160936666666667
"940",940,0.161556666666667
"941",941,0.162093333333333
"942",942,0.16275
"943",943,0.1634
"944",944,0.164136666666667
"945",945,0.164943333333333
"946",946,0.16589
"947",947,0.166723333333333
"948",948,0.167553333333333
"949",949,0.168406666666667
"950",950,0.16921
"951",951,0.1701
"952",952,0.171076666666667
"953",953,0.172016666666667
"954",954,0.172973333333333
"955",955,0.17391
"956",956,0.174846666666667
"957",957,0.175743333333333
"958",958,0.176713333333333
"959",959,0.177693333333333
"960",960,0.17871
"961",961,0.179826666666667
"962",962,0.18083
"963",963,0.18178
"964",964,0.182783333333333
"965",965,0.183786666666667
"966",966,0.184766666666667
"967",967,0.185746666666667
"968",968,0.186786666666667
"969",969,0.187746666666667
"970",970,0.188566666666667
"971",971,0.18959
"972",972,0.190683333333333
"973",973,0.19182
"974",974,0.193213333333333
"975",975,0.194336666666667
"976",976,0.19531
"977",977,0.196356666666667
"978",978,0.197306666666667
"979",979,0.19827
"980",980,0.19931
"981",981,0.200503333333333
"982",982,0.201553333333333
"983",983,0.20256
"984",984,0.203586666666667
"985",985,0.20451
"986",986,0.20557
"987",987,0.206753333333333
"988",988,0.207846666666667
"989",989,0.20896
"990",990,0.210146666666667
"991",991,0.211166666666667
"992",992,0.212016666666667
"993",993,0.213006666666667
"994",994,0.213923333333333
"995",995,0.214996666666667
"996",996,0.216303333333333
"997",997,0.21739
"998",998,0.218433333333333
"999",999,0.219483333333333
"1000",1000,0.220423333333333
"1001",1001,0.22135
"1002",1002,0.22244
"1003",1003,0.22346
"1004",1004,0.224393333333333
"1005",1005,0.225226666666667
"1006",1006,0.226113333333333
"1007",1007,0.226906666666667
"1008",1008,0.227803333333333
"1009",1009,0.22885
"1010",1010,0.229743333333333
"1011",1011,0.23064
"1012",1012,0.231403333333333
"1013",1013,0.232106666666667
"1014",1014,0.232826666666667
"1015",1015,0.233673333333333
"1016",1016,0.234666666666667
"1017",1017,0.235513333333333
"1018",1018,0.236416666666667
"1019",1019,0.237206666666667
"1020",1020,0.23781
"1021",1021,0.238506666666667
"1022",1022,0.239233333333333
"1023",1023,0.23994
"1024",1024,0.240706666666667
"1025",1025,0.241346666666667
"1026",1026,0.241993333333333
"1027",1027,0.242603333333333
"1028",1028,0.243243333333333
"1029",1029,0.243903333333333
"1030",1030,0.24451
"1031",1031,0.245066666666667
"1032",1032,0.245686666666667
"1033",1033,0.246353333333333
"1034",1034,0.24695
"1035",1035,0.247636666666667
"1036",1036,0.24815
"1037",1037,0.248553333333333
"1038",1038,0.248903333333333
"1039",1039,0.249283333333333
"1040",1040,0.2499
"1041",1041,0.250443333333333
"1042",1042,0.25112
"1043",1043,0.25159
"1044",1044,0.25193
"1045",1045,0.252343333333333
"1046",1046,0.25269
"1047",1047,0.253086666666667
"1048",1048,0.253556666666667
"1049",1049,0.254
"1050",1050,0.25438
"1051",1051,0.25479
"1052",1052,0.255153333333333
"1053",1053,0.255496666666667
"1054",1054,0.255903333333333
"1055",1055,0.256313333333333
"1056",1056,0.256733333333333
"1057",1057,0.25725
"1058",1058,0.257673333333333
"1059",1059,0.257986666666667
"1060",1060,0.258426666666667
"1061",1061,0.25892
"1062",1062,0.259383333333333
