"","wavelength","haz_mean_reflectance"
"732",732,0.34809
"733",733,0.347805
"734",734,0.34753
"735",735,0.347265
"736",736,0.346985
"737",737,0.346705
"738",738,0.346425
"739",739,0.346165
"740",740,0.34587
"741",741,0.34556
"742",742,0.345245
"743",743,0.34491
"744",744,0.34456
"745",745,0.3442
"746",746,0.343835
"747",747,0.34344
"748",748,0.34306
"749",749,0.34269
"750",750,0.3423
"751",751,0.341915
"752",752,0.341505
"753",753,0.341065
"754",754,0.340655
"755",755,0.34024
"756",756,0.339825
"757",757,0.339405
"758",758,0.339005
"759",759,0.3386
"760",760,0.338215
"761",761,0.337855
"762",762,0.337485
"763",763,0.337095
"764",764,0.33674
"765",765,0.336405
"766",766,0.336085
"767",767,0.335795
"768",768,0.335515
"769",769,0.33526
"770",770,0.334985
"771",771,0.3347
"772",772,0.334465
"773",773,0.33422
"774",774,0.333995
"775",775,0.33378
"776",776,0.33351
"777",777,0.33326
"778",778,0.333065
"779",779,0.332885
"780",780,0.332735
"781",781,0.3326
"782",782,0.33246
"783",783,0.33232
"784",784,0.332205
"785",785,0.332095
"786",786,0.331955
"787",787,0.331865
"788",788,0.33181
"789",789,0.331745
"790",790,0.331695
"791",791,0.331665
"792",792,0.33162
"793",793,0.3316
"794",794,0.331625
"795",795,0.33164
"796",796,0.33164
"797",797,0.33167
"798",798,0.331715
"799",799,0.33176
"800",800,0.331815
"801",801,0.33187
"802",802,0.331925
"803",803,0.331975
"804",804,0.33203
"805",805,0.33208
"806",806,0.33213
"807",807,0.33218
"808",808,0.332225
"809",809,0.332275
"810",810,0.33234
"811",811,0.332395
"812",812,0.33246
"813",813,0.332515
"814",814,0.332545
"815",815,0.332565
"816",816,0.33259
"817",817,0.332625
"818",818,0.33264
"819",819,0.33267
"820",820,0.332715
"821",821,0.332735
"822",822,0.33274
"823",823,0.332735
"824",824,0.33271
"825",825,0.332645
"826",826,0.33261
"827",827,0.33258
"828",828,0.3325
"829",829,0.3324
"830",830,0.332315
"831",831,0.332205
"832",832,0.332325
"833",833,0.332195
"834",834,0.33222
"835",835,0.33198
"836",836,0.33164
"837",837,0.331435
"838",838,0.331085
"839",839,0.330445
"840",840,0.33
"841",841,0.329655
"842",842,0.32935
"843",843,0.32887
"844",844,0.328295
"845",845,0.32755
"846",846,0.32666
"847",847,0.32581
"848",848,0.324915
"849",849,0.323915
"850",850,0.322855
"851",851,0.321715
"852",852,0.320375
"853",853,0.319195
"854",854,0.31796
"855",855,0.316545
"856",856,0.315005
"857",857,0.31317
"858",858,0.31129
"859",859,0.30934
"860",860,0.30721
"861",861,0.304925
"862",862,0.30248
"863",863,0.29993
"864",864,0.296945
"865",865,0.294055
"866",866,0.291175
"867",867,0.28782
"868",868,0.28418
"869",869,0.28042
"870",870,0.276425
"871",871,0.27213
"872",872,0.267715
"873",873,0.26304
"874",874,0.258045
"875",875,0.252675
"876",876,0.24738
"877",877,0.242075
"878",878,0.23655
"879",879,0.230815
"880",880,0.224995
"881",881,0.219015
"882",882,0.212735
"883",883,0.206515
"884",884,0.20044
"885",885,0.194195
"886",886,0.18778
"887",887,0.18152
"888",888,0.175095
"889",889,0.168925
"890",890,0.162785
"891",891,0.15692
"892",892,0.151285
"893",893,0.14563
"894",894,0.14041
"895",895,0.1355
"896",896,0.13076
"897",897,0.1262525
"898",898,0.122002
"899",899,0.1179235
"900",900,0.11419
"901",901,0.1108375
"902",902,0.1076695
"903",903,0.104724
"904",904,0.1021285
"905",905,0.0997395
"906",906,0.097698
"907",907,0.095641
"908",908,0.0937635
"909",909,0.092042
"910",910,0.090316
"911",911,0.088885
"912",912,0.087739
"913",913,0.0867925
"914",914,0.0858245
"915",915,0.084962
"916",916,0.084237
"917",917,0.083612
"918",918,0.0830425
"919",919,0.0826815
"920",920,0.082253
"921",921,0.0817655
"922",922,0.081401
"923",923,0.0811375
"924",924,0.0808095
"925",925,0.080676
"926",926,0.080676
"927",927,0.0806635
"928",928,0.0807565
"929",929,0.0808475
"930",930,0.0808695
"931",931,0.0810655
"932",932,0.081402
"933",933,0.081737
"934",934,0.0821305
"935",935,0.0826915
"936",936,0.0830545
"937",937,0.083274
"938",938,0.0836975
"939",939,0.0841115
"940",940,0.084608
"941",941,0.0852485
"942",942,0.0859125
"943",943,0.0867045
"944",944,0.087359
"945",945,0.0879925
"946",946,0.088654
"947",947,0.0893225
"948",948,0.089858
"949",949,0.0905345
"950",950,0.0913815
"951",951,0.092125
"952",952,0.092729
"953",953,0.093535
"954",954,0.0944765
"955",955,0.095367
"956",956,0.096294
"957",957,0.0973985
"958",958,0.09827
"959",959,0.098951
"960",960,0.099836
"961",961,0.100711
"962",962,0.101648
"963",963,0.102755
"964",964,0.1037595
"965",965,0.1047205
"966",966,0.1056795
"967",967,0.1066355
"968",968,0.10753
"969",969,0.108558
"970",970,0.109652
"971",971,0.110728
"972",972,0.111901
"973",973,0.112979
"974",974,0.1139245
"975",975,0.11501
"976",976,0.116137
"977",977,0.117289
"978",978,0.118695
"979",979,0.119804
"980",980,0.1208945
"981",981,0.1218515
"982",982,0.122953
"983",983,0.1239865
"984",984,0.125132
"985",985,0.126476
"986",986,0.12767
"987",987,0.12883
"988",988,0.129965
"989",989,0.13102
"990",990,0.13212
"991",991,0.13322
"992",992,0.134265
"993",993,0.13546
"994",994,0.13684
"995",995,0.138
"996",996,0.13909
"997",997,0.140265
"998",998,0.141375
"999",999,0.142485
