"","wavelength","rowan_mean_reflectance"
"559",559,0.5555
"560",560,0.55597
"561",561,0.55649
"562",562,0.55701
"563",563,0.5575
"564",564,0.558
"565",565,0.55845
"566",566,0.5589
"567",567,0.55936
"568",568,0.55981
"569",569,0.56026
"570",570,0.56072
"571",571,0.56118
"572",572,0.56166
"573",573,0.56211
"574",574,0.56254
"575",575,0.56299
"576",576,0.56343
"577",577,0.56391
"578",578,0.56444
"579",579,0.56492
"580",580,0.56539
"581",581,0.56588
"582",582,0.56635
"583",583,0.56685
"584",584,0.56738
"585",585,0.56789
"586",586,0.56839
"587",587,0.56891
"588",588,0.56942
"589",589,0.56995
"590",590,0.57051
"591",591,0.57104
"592",592,0.57157
"593",593,0.5721
"594",594,0.57261
"595",595,0.57313
"596",596,0.57365
"597",597,0.57418
"598",598,0.57469
"599",599,0.57521
"600",600,0.57574
"601",601,0.57624
"602",602,0.57671
"603",603,0.5772
"604",604,0.57769
"605",605,0.5782
"606",606,0.57875
"607",607,0.57925
"608",608,0.57972
"609",609,0.5802
"610",610,0.58066
"611",611,0.58112
"612",612,0.5816
"613",613,0.58208
"614",614,0.58256
"615",615,0.58302
"616",616,0.58347
"617",617,0.5839
"618",618,0.5843
"619",619,0.5847
"620",620,0.58507
"621",621,0.58545
"622",622,0.58582
"623",623,0.5862
"624",624,0.5866
"625",625,0.58697
"626",626,0.58733
"627",627,0.58769
"628",628,0.58804
"629",629,0.58836
"630",630,0.58866
"631",631,0.58897
"632",632,0.58926
"633",633,0.58955
"634",634,0.58984
"635",635,0.59011
"636",636,0.59035
"637",637,0.59059
"638",638,0.59082
"639",639,0.59103
"640",640,0.59124
"641",641,0.59139
"642",642,0.5915
"643",643,0.59159
"644",644,0.59163
"645",645,0.59164
"646",646,0.59166
"647",647,0.5916
"648",648,0.5915
"649",649,0.59136
"650",650,0.59119
"651",651,0.59097
"652",652,0.59071
"653",653,0.59039
"654",654,0.59
"655",655,0.58961
"656",656,0.58919
"657",657,0.58874
"658",658,0.58826
"659",659,0.58775
"660",660,0.5872
"661",661,0.58665
"662",662,0.58608
"663",663,0.58551
"664",664,0.58494
"665",665,0.58437
"666",666,0.58377
"667",667,0.58321
"668",668,0.58264
"669",669,0.58208
"670",670,0.58157
"671",671,0.58102
"672",672,0.58043
"673",673,0.57986
"674",674,0.57926
"675",675,0.57866
"676",676,0.57806
"677",677,0.57744
"678",678,0.57681
"679",679,0.57616
"680",680,0.57549
"681",681,0.5748
"682",682,0.57409
"683",683,0.57334
"684",684,0.57255
"685",685,0.57177
"686",686,0.57096
"687",687,0.57017
"688",688,0.56936
"689",689,0.56859
"690",690,0.56783
"691",691,0.56706
"692",692,0.56633
"693",693,0.56558
"694",694,0.5648
"695",695,0.56406
"696",696,0.56335
"697",697,0.56261
"698",698,0.56188
"699",699,0.56113
"700",700,0.56036
"701",701,0.55961
"702",702,0.55885
"703",703,0.5581
"704",704,0.55736
"705",705,0.55658
"706",706,0.55577
"707",707,0.55496
"708",708,0.5541
"709",709,0.55332
"710",710,0.55255
"711",711,0.55182
"712",712,0.55114
"713",713,0.55044
"714",714,0.54974
"715",715,0.54911
"716",716,0.54849
"717",717,0.54791
"718",718,0.54738
"719",719,0.54687
"720",720,0.54638
"721",721,0.54593
"722",722,0.54554
"723",723,0.5452
"724",724,0.54489
"725",725,0.54463
"726",726,0.54445
"727",727,0.54431
"728",728,0.54419
"729",729,0.54411
"730",730,0.54413
"731",731,0.54421
"732",732,0.54431
"733",733,0.54446
"734",734,0.54464
"735",735,0.54485
"736",736,0.54502
"737",737,0.54523
"738",738,0.54537
"739",739,0.54548
"740",740,0.54553
"741",741,0.54554
"742",742,0.54549
"743",743,0.54535
"744",744,0.54523
"745",745,0.54509
"746",746,0.54493
"747",747,0.54473
"748",748,0.54454
"749",749,0.5443
"750",750,0.5441
"751",751,0.54393
"752",752,0.54376
"753",753,0.54359
"754",754,0.54347
"755",755,0.54338
"756",756,0.54331
"757",757,0.54327
"758",758,0.54322
"759",759,0.54316
"760",760,0.54316
"761",761,0.54319
"762",762,0.54325
"763",763,0.54334
"764",764,0.54347
"765",765,0.54364
"766",766,0.54385
"767",767,0.54414
"768",768,0.5444
"769",769,0.54468
"770",770,0.54495
"771",771,0.54521
"772",772,0.54549
"773",773,0.54578
"774",774,0.54602
"775",775,0.54626
"776",776,0.54649
"777",777,0.54668
"778",778,0.54689
"779",779,0.54709
"780",780,0.54724
"781",781,0.54739
"782",782,0.54755
"783",783,0.54772
"784",784,0.54786
"785",785,0.54799
"786",786,0.5481
"787",787,0.54823
"788",788,0.54838
"789",789,0.54854
"790",790,0.5487
"791",791,0.54887
"792",792,0.54905
"793",793,0.54921
"794",794,0.54934
"795",795,0.5495
"796",796,0.54968
"797",797,0.54986
"798",798,0.55009
"799",799,0.55028
"800",800,0.55043
"801",801,0.55064
"802",802,0.55088
"803",803,0.55112
"804",804,0.55141
"805",805,0.55167
"806",806,0.55192
"807",807,0.55217
"808",808,0.55242
"809",809,0.55269
"810",810,0.55296
"811",811,0.55329
"812",812,0.55364
"813",813,0.55399
"814",814,0.5543
"815",815,0.55455
"816",816,0.55481
"817",817,0.5551
"818",818,0.5554
"819",819,0.55568
"820",820,0.55598
"821",821,0.55624
"822",822,0.5565
"823",823,0.5568
"824",824,0.55707
"825",825,0.5573
"826",826,0.55758
"827",827,0.55791
"828",828,0.55816
"829",829,0.55839
"830",830,0.55863
"831",831,0.55878
"832",832,0.55869
"833",833,0.55872
"834",834,0.5587
"835",835,0.55864
"836",836,0.55839
"837",837,0.55879
"838",838,0.55898
"839",839,0.55899
"840",840,0.55901
"841",841,0.55923
"842",842,0.55933
"843",843,0.55897
"844",844,0.55901
"845",845,0.55896
"846",846,0.55848
"847",847,0.55807
"848",848,0.55757
"849",849,0.5572
"850",850,0.55686
"851",851,0.55636
"852",852,0.55586
"853",853,0.55537
"854",854,0.55454
"855",855,0.55349
"856",856,0.55251
"857",857,0.55142
"858",858,0.55033
"859",859,0.54938
"860",860,0.54805
"861",861,0.54665
"862",862,0.54491
"863",863,0.54287
"864",864,0.54092
"865",865,0.5388
"866",866,0.53641
"867",867,0.53391
"868",868,0.53122
"869",869,0.52829
"870",870,0.5252
"871",871,0.52198
"872",872,0.5186
"873",873,0.51504
"874",874,0.5113
"875",875,0.50742
"876",876,0.50308
"877",877,0.49834
"878",878,0.49345
"879",879,0.48815
"880",880,0.48278
"881",881,0.4772
"882",882,0.47151
"883",883,0.46564
"884",884,0.45958
"885",885,0.45322
"886",886,0.44654
"887",887,0.43977
"888",888,0.43261
"889",889,0.4255
"890",890,0.41835
"891",891,0.41103
"892",892,0.40351
"893",893,0.39587
"894",894,0.38846
"895",895,0.38098
"896",896,0.37368
"897",897,0.36651
"898",898,0.35951
