"","wavelength","syc_mean_reflectance"
"690",690,0.365325
"691",691,0.36507
"692",692,0.36481
"693",693,0.364545
"694",694,0.36427
"695",695,0.364
"696",696,0.36373
"697",697,0.363455
"698",698,0.363175
"699",699,0.3629
"700",700,0.362645
"701",701,0.362375
"702",702,0.36209
"703",703,0.361805
"704",704,0.36151
"705",705,0.361215
"706",706,0.360905
"707",707,0.360625
"708",708,0.36035
"709",709,0.36007
"710",710,0.3598
"711",711,0.359535
"712",712,0.359275
"713",713,0.358995
"714",714,0.35872
"715",715,0.35845
"716",716,0.358155
"717",717,0.35789
"718",718,0.357655
"719",719,0.35737
"720",720,0.357065
"721",721,0.35676
"722",722,0.356415
"723",723,0.3561
"724",724,0.355805
"725",725,0.35549
"726",726,0.35518
"727",727,0.354885
"728",728,0.354585
"729",729,0.3543
"730",730,0.35403
"731",731,0.353745
"732",732,0.353475
"733",733,0.353235
"734",734,0.35302
"735",735,0.35281
"736",736,0.352585
"737",737,0.35235
"738",738,0.352125
"739",739,0.35193
"740",740,0.351675
"741",741,0.3514
"742",742,0.3511
"743",743,0.35076
"744",744,0.350415
"745",745,0.350065
"746",746,0.3497
"747",747,0.349315
"748",748,0.34891
"749",749,0.34848
"750",750,0.34806
"751",751,0.347625
"752",752,0.347185
"753",753,0.34674
"754",754,0.3463
"755",755,0.34587
"756",756,0.34544
"757",757,0.345025
"758",758,0.3446
"759",759,0.34414
"760",760,0.34373
"761",761,0.34334
"762",762,0.342955
"763",763,0.342605
"764",764,0.342235
"765",765,0.34184
"766",766,0.34149
"767",767,0.34115
"768",768,0.340845
"769",769,0.34061
"770",770,0.34033
"771",771,0.340065
"772",772,0.339785
"773",773,0.3395
"774",774,0.33927
"775",775,0.339065
"776",776,0.338855
"777",777,0.33863
"778",778,0.3384
"779",779,0.338185
"780",780,0.33801
"781",781,0.33785
"782",782,0.33769
"783",783,0.33753
"784",784,0.337375
"785",785,0.33725
"786",786,0.33711
"787",787,0.336985
"788",788,0.33686
"789",789,0.336745
"790",790,0.336645
"791",791,0.33656
"792",792,0.33645
"793",793,0.33639
"794",794,0.336375
"795",795,0.33634
"796",796,0.336315
"797",797,0.336295
"798",798,0.33625
"799",799,0.33623
"800",800,0.33622
"801",801,0.336205
"802",802,0.336195
"803",803,0.336185
"804",804,0.336175
"805",805,0.336175
"806",806,0.33618
"807",807,0.336205
"808",808,0.336215
"809",809,0.336245
"810",810,0.336255
"811",811,0.33625
"812",812,0.336265
"813",813,0.336275
"814",814,0.336305
"815",815,0.336375
"816",816,0.336405
"817",817,0.336425
"818",818,0.336425
"819",819,0.336375
"820",820,0.336355
"821",821,0.33637
"822",822,0.33633
"823",823,0.336245
"824",824,0.336175
"825",825,0.336085
"826",826,0.33598
"827",827,0.335905
"828",828,0.335795
"829",829,0.335625
"830",830,0.33547
"831",831,0.3353
"832",832,0.33547
"833",833,0.3353
"834",834,0.33512
"835",835,0.334835
"836",836,0.334665
"837",837,0.334365
"838",838,0.333975
"839",839,0.33346
"840",840,0.332955
"841",841,0.332385
"842",842,0.33185
"843",843,0.33127
"844",844,0.330525
"845",845,0.32973
"846",846,0.328955
"847",847,0.32809
"848",848,0.32715
"849",849,0.326225
"850",850,0.325385
"851",851,0.324265
"852",852,0.323035
"853",853,0.321655
"854",854,0.320135
"855",855,0.318355
"856",856,0.31654
"857",857,0.31488
"858",858,0.31301
"859",859,0.311175
"860",860,0.309025
"861",861,0.30675
"862",862,0.304075
"863",863,0.301365
"864",864,0.29848
"865",865,0.29552
"866",866,0.292515
"867",867,0.289105
"868",868,0.28537
"869",869,0.28149
"870",870,0.27738
"871",871,0.273
"872",872,0.268465
"873",873,0.263625
"874",874,0.25858
"875",875,0.25351
"876",876,0.248205
"877",877,0.2427
"878",878,0.237205
"879",879,0.231545
"880",880,0.22574
"881",881,0.219775
"882",882,0.213855
"883",883,0.20769
"884",884,0.20153
"885",885,0.195465
"886",886,0.18945
"887",887,0.183415
"888",888,0.17718
"889",889,0.171325
"890",890,0.16556
"891",891,0.15998
"892",892,0.154575
"893",893,0.14944
"894",894,0.144515
"895",895,0.139635
"896",896,0.13524
"897",897,0.13128
"898",898,0.127425
"899",899,0.12385
"900",900,0.12051
"901",901,0.11732
"902",902,0.11446
"903",903,0.111945
"904",904,0.109745
"905",905,0.10759
"906",906,0.10568
"907",907,0.10388
"908",908,0.102091
"909",909,0.1006585
"910",910,0.099672
"911",911,0.098567
"912",912,0.097605
"913",913,0.096725
"914",914,0.095864
"915",915,0.0948605
