"","wavelength","sitka_mean_reflectance"
"219",219,0.483328571428571
"220",220,0.484144285714286
"221",221,0.484957142857143
"222",222,0.485792857142857
"223",223,0.486641428571429
"224",224,0.487505714285714
"225",225,0.488372857142857
"226",226,0.489287142857143
"227",227,0.490144285714286
"228",228,0.49098
"229",229,0.4918
"230",230,0.492572857142857
"231",231,0.493354285714286
"232",232,0.494127142857143
"233",233,0.494922857142857
"234",234,0.495672857142857
"235",235,0.496407142857143
"236",236,0.497127142857143
"237",237,0.497808571428571
"238",238,0.498491428571429
"239",239,0.499165714285714
"240",240,0.499817142857143
"241",241,0.500448571428571
"242",242,0.50107
"243",243,0.501671428571429
"244",244,0.502258571428571
"245",245,0.50284
"246",246,0.50339
"247",247,0.503907142857143
"248",248,0.504418571428571
"249",249,0.504908571428571
"250",250,0.505384285714286
