"","wavelength","ash_mean_reflectance"
"725",725,0.55357
"726",726,0.55323
"727",727,0.55294
"728",728,0.55266
"729",729,0.55242
"730",730,0.55224
"731",731,0.55211
"732",732,0.55202
"733",733,0.55198
"734",734,0.55194
"735",735,0.55196
"736",736,0.55197
"737",737,0.55203
"738",738,0.55204
"739",739,0.55202
"740",740,0.55198
"741",741,0.55191
"742",742,0.55181
"743",743,0.55166
"744",744,0.55152
"745",745,0.55135
"746",746,0.55116
"747",747,0.55095
"748",748,0.55078
"749",749,0.55062
"750",750,0.55044
"751",751,0.55025
"752",752,0.55011
"753",753,0.54996
"754",754,0.54982
"755",755,0.54972
"756",756,0.54961
"757",757,0.54947
"758",758,0.5494
"759",759,0.54939
"760",760,0.54936
"761",761,0.54932
"762",762,0.54931
"763",763,0.5493
"764",764,0.54935
"765",765,0.54947
"766",766,0.54957
"767",767,0.5497
"768",768,0.54982
"769",769,0.5499
"770",770,0.55007
"771",771,0.55029
"772",772,0.5505
"773",773,0.55072
"774",774,0.55096
"775",775,0.55115
"776",776,0.5513
"777",777,0.55148
"778",778,0.55163
"779",779,0.55177
"780",780,0.55199
"781",781,0.5522
"782",782,0.55237
"783",783,0.55255
"784",784,0.55269
"785",785,0.55284
"786",786,0.55307
"787",787,0.55328
"788",788,0.55354
"789",789,0.55377
"790",790,0.55398
"791",791,0.55418
"792",792,0.55436
"793",793,0.55457
"794",794,0.55476
"795",795,0.55497
"796",796,0.55523
"797",797,0.55546
"798",798,0.55568
"799",799,0.55594
"800",800,0.55623
"801",801,0.55651
"802",802,0.55681
"803",803,0.55708
"804",804,0.55732
"805",805,0.55758
"806",806,0.55785
"807",807,0.5582
"808",808,0.55853
"809",809,0.55891
"810",810,0.55923
"811",811,0.55952
"812",812,0.55987
"813",813,0.56019
"814",814,0.56055
"815",815,0.56091
"816",816,0.56123
"817",817,0.56153
"818",818,0.56183
"819",819,0.56217
"820",820,0.56251
"821",821,0.5629
"822",822,0.56326
"823",823,0.56358
"824",824,0.56389
"825",825,0.5642
"826",826,0.56449
"827",827,0.56479
"828",828,0.56507
"829",829,0.56534
"830",830,0.5656
"831",831,0.56581
"832",832,0.5656
"833",833,0.56581
"834",834,0.566
"835",835,0.56639
"836",836,0.56629
"837",837,0.5662
"838",838,0.56624
"839",839,0.5663
"840",840,0.56633
"841",841,0.56653
"842",842,0.56646
"843",843,0.56625
"844",844,0.56601
"845",845,0.56556
"846",846,0.56521
"847",847,0.56488
"848",848,0.56465
"849",849,0.56412
"850",850,0.56357
"851",851,0.56288
"852",852,0.56199
"853",853,0.56092
"854",854,0.55995
"855",855,0.55897
"856",856,0.5578
"857",857,0.55656
"858",858,0.55516
"859",859,0.55355
"860",860,0.55193
"861",861,0.55032
"862",862,0.54858
"863",863,0.54629
"864",864,0.54376
"865",865,0.54107
"866",866,0.53812
"867",867,0.53523
"868",868,0.53279
"869",869,0.52952
"870",870,0.52591
"871",871,0.52203
"872",872,0.51779
"873",873,0.51308
"874",874,0.50851
"875",875,0.50349
"876",876,0.49832
"877",877,0.49301
"878",878,0.48743
"879",879,0.48159
"880",880,0.47549
"881",881,0.46922
"882",882,0.46246
"883",883,0.45532
"884",884,0.44809
"885",885,0.4408
"886",886,0.43333
"887",887,0.42559
"888",888,0.41773
"889",889,0.40964
