"","wavelength","alder_mean_reflectance"
"233",233,0.443946666666667
"234",234,0.444021666666667
"235",235,0.444068333333333
"236",236,0.444118333333333
"237",237,0.444173333333333
"238",238,0.44422
"239",239,0.44425
"240",240,0.444286666666667
"241",241,0.44432
"242",242,0.444355
"243",243,0.44438
"244",244,0.444416666666667
"245",245,0.444458333333333
"246",246,0.444501666666667
"247",247,0.444563333333333
"248",248,0.444605
"249",249,0.444643333333333
"250",250,0.444675
"251",251,0.444705
"252",252,0.444718333333333
"253",253,0.444736666666667
"254",254,0.444761666666667
"255",255,0.444775
"256",256,0.44478
"257",257,0.444801666666667
"258",258,0.44482
"259",259,0.444833333333333
"260",260,0.444871666666667
"261",261,0.444876666666667
"262",262,0.444851666666667
"263",263,0.44484
"264",264,0.444815
"265",265,0.444795
"266",266,0.444788333333333
