"","wavelength","pasture_mean_reflectance"
"420",420,0.206895
"421",421,0.205172
"422",422,0.203577
"423",423,0.202093
"424",424,0.200726
"425",425,0.199453
"426",426,0.198289
"427",427,0.19723
"428",428,0.19625
"429",429,0.195357
"430",430,0.19454
"431",431,0.193796
"432",432,0.193112
"433",433,0.192492
"434",434,0.191936
"435",435,0.191442
"436",436,0.191
"437",437,0.190616
"438",438,0.190282
"439",439,0.19
"440",440,0.189756
"441",441,0.189569
"442",442,0.189414
"443",443,0.189293
"444",444,0.189208
"445",445,0.189163
"446",446,0.189135
"447",447,0.189135
"448",448,0.18915
"449",449,0.189207
"450",450,0.189289
"451",451,0.189386
"452",452,0.189517
"453",453,0.189663
"454",454,0.189822
"455",455,0.190038
"456",456,0.190286
"457",457,0.190556
"458",458,0.190882
"459",459,0.191241
"460",460,0.191638
"461",461,0.19211
"462",462,0.192628
"463",463,0.193205
"464",464,0.193855
"465",465,0.194543
"466",466,0.195306
"467",467,0.196135
"468",468,0.197028
"469",469,0.197978
"470",470,0.199008
"471",471,0.200073
"472",472,0.201191
"473",473,0.202353
"474",474,0.203567
"475",475,0.204824
"476",476,0.206124
"477",477,0.20746
"478",478,0.208849
"479",479,0.210255
"480",480,0.211706
"481",481,0.213169
"482",482,0.214655
"483",483,0.216175
"484",484,0.217729
"485",485,0.219292
"486",486,0.220891
"487",487,0.222486
"488",488,0.224096
"489",489,0.225724
"490",490,0.227367
"491",491,0.229052
"492",492,0.230736
"493",493,0.232434
"494",494,0.234154
"495",495,0.235855
"496",496,0.237588
"497",497,0.239331
"498",498,0.241072
"499",499,0.242853
"500",500,0.244624
"501",501,0.24641
"502",502,0.248211
"503",503,0.249991
"504",504,0.251794
"505",505,0.253596
"506",506,0.255395
"507",507,0.257229
"508",508,0.259062
"509",509,0.260895
"510",510,0.262729
"511",511,0.264566
"512",512,0.266401
"513",513,0.26824
"514",514,0.270073
"515",515,0.271913
"516",516,0.273752
"517",517,0.275585
"518",518,0.277413
"519",519,0.279239
"520",520,0.281058
"521",521,0.282867
"522",522,0.284682
"523",523,0.286504
"524",524,0.288314
"525",525,0.290117
"526",526,0.291912
"527",527,0.293696
"528",528,0.295476
"529",529,0.297265
"530",530,0.299033
"531",531,0.300794
"532",532,0.302544
"533",533,0.304268
"534",534,0.305997
"535",535,0.307719
"536",536,0.309436
"537",537,0.311151
"538",538,0.312851
"539",539,0.314538
"540",540,0.316219
"541",541,0.317881
"542",542,0.319539
"543",543,0.321205
"544",544,0.322852
"545",545,0.324498
"546",546,0.32613
"547",547,0.327745
"548",548,0.329365
"549",549,0.330968
"550",550,0.332565
"551",551,0.334151
"552",552,0.33572
