"","wavelength","mean_deciduous_reflectance","sitka_mean_reflectance","pasture_mean_reflectance","moss_mean_reflectance","rho_mean_reflectance","grass_mean_reflectance","br_mean_reflectance","ash_mean_reflectance","alder_mean_reflectance","birch_mean_reflectance","beech_mean_reflectance","haz_mean_reflectance","hc_mean_reflectance","lime_mean_reflectance","rowan_mean_reflectance","syc_mean_reflectance"
"34",34,0.497264537037037,0.621834285714286,0.827618,0.583653846153846,0.542628888888889,0.655876111111111,0.706938333333333,0.7286,0.460348333333333,0.511549166666667,0.391483333333333,0.45273,0.44054,0.38963,0.65757,0.44293
"35",35,0.497253981481481,0.62254,0.828464,0.584243846153846,0.542764444444444,0.656671111111111,0.707412777777778,0.72855,0.46028,0.511560833333333,0.39144,0.4527,0.4405,0.38962,0.65777,0.442865
"36",36,0.497285,0.623215714285714,0.829431,0.584760769230769,0.542946666666667,0.657470277777778,0.707812222222222,0.72858,0.460256666666667,0.511596666666667,0.391446666666667,0.45272,0.44034,0.38961,0.65814,0.442875
"37",37,0.497353611111111,0.623988571428571,0.830442,0.585212307692308,0.543200555555556,0.658179722222222,0.708203888888889,0.72875,0.460308333333333,0.511714166666667,0.39137,0.4528,0.44043,0.38953,0.65853,0.44275
"38",38,0.497392685185185,0.624687142857143,0.831252,0.585682307692308,0.543402777777778,0.658928055555556,0.708612222222222,0.72887,0.460341666666667,0.511839166666667,0.391303333333333,0.452805,0.44044,0.38929,0.65896,0.442685
"39",39,0.49751462962963,0.625278571428571,0.832116,0.586215384615385,0.543631111111111,0.659691111111111,0.709001111111111,0.72921,0.460405,0.511943333333333,0.391363333333333,0.452815,0.44031,0.3892,0.6596,0.442785
"40",40,0.497644537037037,0.625881428571429,0.832916,0.586791538461538,0.543818888888889,0.660406666666667,0.709411111111111,0.72956,0.460418333333333,0.5120675,0.39145,0.452935,0.44041,0.38908,0.66008,0.4428
"41",41,0.497667592592593,0.626465714285714,0.833602,0.587308461538462,0.543923888888889,0.661144166666667,0.709817222222222,0.72955,0.460385,0.512141666666667,0.391486666666667,0.45286,0.4404,0.38904,0.66035,0.442795
"42",42,0.497796388888889,0.62708,0.834608,0.587807692307692,0.544141666666667,0.661868333333333,0.710198888888889,0.72968,0.460458333333333,0.512270833333333,0.391533333333333,0.45281,0.44045,0.38923,0.66087,0.442865
"43",43,0.497909351851852,0.627617142857143,0.835481,0.588300769230769,0.544363888888889,0.6625325,0.710546666666667,0.72995,0.460506666666667,0.512455833333333,0.391526666666667,0.45286,0.44059,0.38917,0.66129,0.442835
"44",44,0.497932592592593,0.628145714285714,0.836048,0.588746153846154,0.544524444444444,0.663196944444444,0.710905,0.73,0.460438333333333,0.512545,0.39141,0.452845,0.44053,0.3892,0.66159,0.442835
"45",45,0.498023240740741,0.628725714285714,0.836636,0.589133846153846,0.544718888888889,0.663869444444444,0.711300555555556,0.73019,0.460361666666667,0.5125775,0.39136,0.452955,0.44042,0.38928,0.66213,0.442935
"46",46,0.498093055555556,0.629231428571429,0.837174,0.589478461538462,0.544916111111111,0.664532222222222,0.711697222222222,0.73037,0.460365,0.5126125,0.39136,0.453015,0.44044,0.3892,0.66248,0.442995
"47",47,0.498168518518519,0.629754285714286,0.837773,0.589904615384615,0.545081666666667,0.665179444444444,0.712057777777778,0.73053,0.460391666666667,0.512671666666667,0.391353333333333,0.453025,0.44046,0.38921,0.66284,0.443035
"48",48,0.498240185185185,0.630298571428571,0.838309,0.590366923076923,0.545226111111111,0.665813333333333,0.712417777777778,0.73064,0.460418333333333,0.512708333333333,0.39132,0.452985,0.44055,0.38931,0.66319,0.44304
"49",49,0.498335740740741,0.630855714285714,0.839084,0.590783846153846,0.545395555555556,0.666429166666667,0.712711111111111,0.73086,0.460446666666667,0.512808333333333,0.391356666666667,0.45295,0.44063,0.38934,0.66355,0.44308
"50",50,0.498381111111111,0.631317142857143,0.840017,0.591136153846154,0.545521666666667,0.667054166666667,0.712995555555556,0.73091,0.460515,0.51292,0.39139,0.45291,0.44067,0.38929,0.66374,0.443085
"51",51,0.4984775,0.631732857142857,0.840654,0.591606923076923,0.54557,0.66765,0.713278333333333,0.7311,0.460571666666667,0.5129325,0.391383333333333,0.453,0.44067,0.38932,0.6642,0.44312
"52",52,0.498595555555556,0.632158571428571,0.841207,0.591956153846154,0.545682222222222,0.668219444444444,0.713512222222222,0.73142,0.460558333333333,0.512916666666667,0.39138,0.453135,0.44068,0.38932,0.66475,0.4432
"53",53,0.498651111111111,0.632598571428571,0.841874,0.592226923076923,0.545835555555556,0.668801388888889,0.713796111111111,0.73151,0.460521666666667,0.512935,0.391353333333333,0.45321,0.4406,0.38921,0.66523,0.44329
"54",54,0.498738055555556,0.632994285714286,0.842371,0.592644615384615,0.545927777777778,0.669342777777778,0.71412,0.73173,0.46055,0.513025833333333,0.391356666666667,0.453175,0.44059,0.38907,0.66575,0.443395
"55",55,0.498811759259259,0.633448571428571,0.842915,0.593023846153846,0.546015,0.669882222222222,0.714412222222222,0.73204,0.460508333333333,0.5131925,0.39135,0.453105,0.44059,0.3891,0.66613,0.44329
"56",56,0.498827777777778,0.633887142857143,0.843389,0.593388461538462,0.546113888888889,0.670414444444444,0.714706111111111,0.73216,0.460396666666667,0.513278333333333,0.39126,0.453125,0.44048,0.38921,0.66634,0.4432
"57",57,0.498937685185185,0.634267142857143,0.843735,0.593774615384615,0.546156111111111,0.670893333333333,0.714955555555556,0.73234,0.460405,0.513295833333333,0.391213333333333,0.453245,0.44068,0.38932,0.66671,0.44323
"58",58,0.499016574074074,0.63469,0.844171,0.59408,0.546246666666667,0.671405,0.715176111111111,0.73249,0.460391666666667,0.5132825,0.39119,0.45327,0.44082,0.38936,0.66717,0.443175
"59",59,0.499001296296296,0.634984285714286,0.844561,0.594416153846154,0.546412777777778,0.671940555555556,0.715402222222222,0.73246,0.460336666666667,0.513245,0.3911,0.45322,0.44065,0.38924,0.66762,0.44314
"60",60,0.499028981481482,0.635264285714286,0.845058,0.594768461538462,0.546521666666667,0.672465277777778,0.715578333333333,0.73254,0.460348333333333,0.513290833333333,0.391126666666667,0.45312,0.44064,0.38898,0.66812,0.443095
"61",61,0.49905212962963,0.635561428571428,0.845467,0.595041538461539,0.546576111111111,0.672949722222222,0.715769444444444,0.7326,0.460351666666667,0.513354166666667,0.391153333333333,0.45303,0.44055,0.38886,0.66852,0.44305
"62",62,0.499028981481481,0.635845714285714,0.845887,0.595265384615385,0.546581111111111,0.673435,0.715979444444445,0.73264,0.460325,0.5134875,0.391203333333333,0.45284,0.44029,0.38876,0.66884,0.442875
"63",63,0.499063333333333,0.636037142857143,0.84608,0.595535384615385,0.5466,0.673838611111111,0.716172222222222,0.73275,0.460321666666667,0.513556666666667,0.391166666666667,0.452805,0.44,0.38887,0.66924,0.44286
"64",64,0.499173425925926,0.63629,0.846321,0.595799230769231,0.546597777777778,0.674214166666667,0.716351666666667,0.73304,0.460321666666667,0.5135875,0.391146666666667,0.452855,0.44009,0.38896,0.66962,0.44294
"65",65,0.499250925925926,0.636544285714286,0.846599,0.595963846153846,0.546571666666667,0.674613888888889,0.716567222222222,0.73327,0.460338333333333,0.513618333333333,0.391106666666667,0.45295,0.44008,0.38909,0.66987,0.442935
"66",66,0.499334351851852,0.636805714285714,0.846886,0.5962,0.546621666666667,0.675000555555556,0.716737777777778,0.73355,0.460401666666667,0.513624166666667,0.391023333333333,0.453005,0.44007,0.38913,0.67023,0.442975
"67",67,0.499387685185185,0.637062857142857,0.847172,0.59652,0.546684444444444,0.675423888888889,0.716903333333333,0.73377,0.460378333333333,0.5136525,0.390923333333333,0.452905,0.44029,0.38901,0.6706,0.44296
"68",68,0.49941712962963,0.637242857142857,0.847415,0.596763846153846,0.546703888888889,0.675828055555556,0.717059444444444,0.73382,0.460356666666667,0.5137075,0.39085,0.452915,0.44031,0.38894,0.67097,0.442885
"69",69,0.499446388888889,0.637454285714286,0.847563,0.59693,0.546768333333333,0.676151111111111,0.717211111111111,0.73386,0.460351666666667,0.5137675,0.390763333333333,0.452905,0.4402,0.38882,0.67147,0.44288
"70",70,0.499466203703704,0.637577142857143,0.847567,0.597113076923077,0.546822777777778,0.676472222222222,0.717403888888889,0.73392,0.460303333333333,0.513794166666667,0.390763333333333,0.452785,0.44015,0.38868,0.67202,0.44278
"71",71,0.499503888888889,0.637627142857143,0.847693,0.597297692307692,0.546795,0.676745555555556,0.717529444444444,0.73402,0.460225,0.513786666666667,0.390793333333333,0.452815,0.44013,0.38868,0.67237,0.442715
"72",72,0.499530925925926,0.637802857142857,0.847918,0.597452307692308,0.546771666666667,0.677040555555556,0.717592222222222,0.73411,0.460188333333333,0.513756666666667,0.390753333333333,0.45289,0.44014,0.38867,0.67251,0.44276
"73",73,0.499546759259259,0.637931428571429,0.848042,0.597630769230769,0.546785555555556,0.677389444444444,0.717634444444444,0.73418,0.460205,0.513704166666667,0.390756666666667,0.452865,0.4401,0.38861,0.67281,0.44269
"74",74,0.499576944444444,0.637981428571429,0.848097,0.597762307692308,0.546773333333333,0.677663611111111,0.717625555555556,0.73434,0.460156666666667,0.513664166666667,0.390726666666667,0.45284,0.44006,0.38863,0.67316,0.442615
"75",75,0.499598240740741,0.638082857142857,0.848135,0.597892307692308,0.546762222222222,0.677937222222222,0.717686666666667,0.73456,0.460128333333333,0.513650833333333,0.39064,0.452765,0.43992,0.38857,0.67355,0.4426
"76",76,0.499629259259259,0.638105714285714,0.848096,0.59803,0.54674,0.678189444444444,0.717751111111111,0.73467,0.460108333333333,0.51364,0.3906,0.45272,0.43983,0.38855,0.67394,0.442605
"77",77,0.499682037037037,0.638005714285714,0.847814,0.598146923076923,0.546707222222222,0.678364722222222,0.717847222222222,0.73471,0.460103333333333,0.513676666666667,0.390663333333333,0.452605,0.43972,0.38861,0.67442,0.44263
"78",78,0.499719351851852,0.637998571428571,0.847689,0.598246923076923,0.546652222222222,0.678563888888889,0.717893888888889,0.73485,0.46005,0.513659166666667,0.39064,0.45252,0.43972,0.38859,0.67481,0.442635
"79",79,0.499744907407407,0.638041428571429,0.847644,0.598367692307692,0.546567222222222,0.6787825,0.717954444444444,0.735,0.459966666666667,0.513604166666667,0.390563333333333,0.452435,0.4398,0.3885,0.67513,0.442705
"80",80,0.499749907407407,0.638022857142857,0.847613,0.598484615384615,0.546497222222222,0.678991388888889,0.717962777777778,0.73505,0.459926666666667,0.5135675,0.39045,0.452465,0.43977,0.38843,0.67547,0.44262
"81",81,0.499798703703704,0.637988571428571,0.847413,0.598446153846154,0.546455555555556,0.679173888888889,0.717925555555556,0.73517,0.459913333333333,0.513576666666667,0.390423333333333,0.452515,0.43983,0.38844,0.67579,0.44253
"82",82,0.499807037037037,0.63799,0.847335,0.598510769230769,0.546438888888889,0.679343611111111,0.717893333333333,0.73555,0.459901666666667,0.513568333333333,0.390313333333333,0.45244,0.43974,0.38821,0.67616,0.44238
"83",83,0.499798611111111,0.637901428571429,0.847249,0.598659230769231,0.546379444444444,0.679478888888889,0.717831111111111,0.73565,0.459878333333333,0.513595833333333,0.390263333333333,0.45237,0.43962,0.3881,0.67642,0.44229
"84",84,0.499876388888889,0.637777142857143,0.846934,0.598696153846154,0.546328888888889,0.679599722222222,0.717766111111111,0.73579,0.459856666666667,0.513619166666667,0.390366666666667,0.45236,0.43972,0.38818,0.67671,0.442285
"85",85,0.499896388888889,0.637668571428571,0.846632,0.598735384615385,0.546278888888889,0.679728888888889,0.717682222222222,0.73602,0.459791666666667,0.513549166666667,0.390376666666667,0.452305,0.43969,0.3881,0.67703,0.442205
"86",86,0.499861018518518,0.637527142857143,0.846349,0.598758461538462,0.546159444444444,0.679857222222222,0.717598333333333,0.73593,0.459696666666667,0.513504166666667,0.390393333333333,0.45216,0.43963,0.38803,0.67728,0.442125
"87",87,0.499883703703704,0.637352857142857,0.846033,0.598711538461538,0.546021666666667,0.679944166666667,0.717575555555556,0.73598,0.459665,0.51349,0.390403333333333,0.45217,0.43949,0.38803,0.67767,0.442055
"88",88,0.49989287037037,0.63711,0.845702,0.598673076923077,0.545906666666667,0.680016111111111,0.717494444444444,0.73611,0.459636666666667,0.513444166666667,0.39036,0.45222,0.43921,0.38796,0.67805,0.442045
"89",89,0.499904259259259,0.63685,0.845318,0.598640769230769,0.545789444444444,0.680061944444444,0.717368333333333,0.73619,0.459586666666667,0.513405,0.390306666666667,0.4522,0.43909,0.38787,0.67842,0.44207
"90",90,0.49995,0.636547142857143,0.844918,0.598662307692308,0.545652222222222,0.680035277777778,0.717236666666667,0.73631,0.459506666666667,0.513386666666667,0.390226666666667,0.45223,0.43904,0.38778,0.67888,0.44219
"91",91,0.499961666666667,0.636262857142857,0.844528,0.598592307692308,0.545512222222222,0.680041944444444,0.717065555555556,0.73645,0.45947,0.513336666666667,0.390133333333333,0.45219,0.43901,0.3877,0.6792,0.442165
"92",92,0.499945925925926,0.635951428571429,0.844076,0.598444615384615,0.545383888888889,0.680064166666667,0.716777777777778,0.7366,0.459461666666667,0.513253333333333,0.390003333333333,0.45203,0.43912,0.38755,0.67939,0.442105
"93",93,0.49993212962963,0.635624285714286,0.843612,0.598359230769231,0.545254444444444,0.680061388888889,0.716583888888889,0.73663,0.459423333333333,0.513195833333333,0.38992,0.451945,0.43911,0.38747,0.67964,0.442055
"94",94,0.4998925,0.635295714285714,0.843165,0.598255384615385,0.54511,0.680055277777778,0.716426111111111,0.7366,0.4594,0.513144166666667,0.389823333333333,0.45188,0.43904,0.38743,0.67978,0.441935
"95",95,0.499885092592593,0.634972857142857,0.842751,0.598178461538462,0.544962777777778,0.680038888888889,0.716247222222222,0.73665,0.459368333333333,0.513074166666667,0.389783333333333,0.45176,0.43896,0.38745,0.68012,0.4418
"96",96,0.499892962962963,0.634564285714286,0.842242,0.598133846153846,0.544843333333333,0.679979444444444,0.716084444444444,0.73664,0.459301666666667,0.513013333333333,0.389766666666667,0.451715,0.43886,0.3874,0.68054,0.4418
"97",97,0.499886388888889,0.634164285714286,0.841706,0.59806,0.544752777777778,0.679893055555556,0.715955555555556,0.73659,0.45921,0.5129475,0.38975,0.451685,0.43884,0.38736,0.68089,0.441705
"98",98,0.499872592592593,0.633815714285714,0.841191,0.597906923076923,0.544605,0.679799166666667,0.715791666666667,0.73662,0.459078333333333,0.512873333333333,0.389756666666667,0.45158,0.43881,0.38731,0.68126,0.441565
"99",99,0.499863796296296,0.633378571428571,0.84064,0.597732307692308,0.544438888888889,0.679724444444444,0.715547777777778,0.73667,0.459006666666667,0.512800833333333,0.389796666666667,0.451515,0.43873,0.38724,0.68146,0.441555
"100",100,0.49984037037037,0.632967142857143,0.839935,0.597573076923077,0.544275,0.679652777777778,0.715272777777778,0.73669,0.458963333333333,0.51274,0.38979,0.451405,0.43863,0.3872,0.68167,0.441475
"101",101,0.499818055555556,0.632548571428571,0.83924,0.597396153846154,0.544081666666667,0.679550277777778,0.714981666666667,0.73679,0.458881666666667,0.5126925,0.389693333333333,0.451285,0.43855,0.38711,0.68193,0.44143
"102",102,0.499841203703704,0.632024285714286,0.838674,0.597199230769231,0.543883888888889,0.679458333333333,0.714658333333333,0.73704,0.458875,0.512605833333333,0.38966,0.451265,0.4385,0.38698,0.68219,0.441455
"103",103,0.49983287037037,0.631491428571429,0.837989,0.597026153846154,0.543671111111111,0.679350277777778,0.714362222222222,0.73717,0.458875,0.5125225,0.389633333333333,0.45123,0.4384,0.38682,0.6825,0.441345
"104",104,0.499823611111111,0.630935714285714,0.837329,0.596868461538462,0.543480555555556,0.679211111111111,0.714078333333333,0.73724,0.458815,0.512450833333333,0.389596666666667,0.4512,0.43831,0.38673,0.68281,0.44126
"105",105,0.499814722222222,0.630307142857143,0.836751,0.596729230769231,0.543303888888889,0.679058055555556,0.713836666666667,0.7373,0.458703333333333,0.5123675,0.389636666666667,0.45124,0.43819,0.38666,0.68308,0.441155
"106",106,0.499804351851852,0.629738571428571,0.836101,0.596534615384615,0.543112222222222,0.678888333333333,0.713539444444444,0.7373,0.458628333333333,0.5122775,0.389613333333333,0.45123,0.43809,0.3866,0.68342,0.44108
"107",107,0.499792685185185,0.629205714285714,0.835353,0.596376153846154,0.542938888888889,0.678660833333333,0.713244444444444,0.73717,0.458535,0.512229166666667,0.38952,0.451205,0.43797,0.38661,0.6839,0.440995
"108",108,0.499766111111111,0.628604285714286,0.834669,0.596150769230769,0.542742777777778,0.678476944444444,0.712913888888889,0.73714,0.458456666666667,0.512131666666667,0.389466666666667,0.45113,0.4379,0.38657,0.68419,0.44091
"109",109,0.499729351851852,0.628015714285714,0.834037,0.595818461538462,0.542530555555556,0.678333333333333,0.712530555555556,0.73711,0.4584,0.511979166666667,0.38943,0.45103,0.43793,0.3865,0.68436,0.440825
"110",110,0.499698240740741,0.627365714285714,0.833339,0.595573076923077,0.542297777777778,0.6781425,0.712172222222222,0.7371,0.458338333333333,0.511859166666667,0.389366666666667,0.450915,0.43789,0.38644,0.6846,0.440775
"111",111,0.499665277777778,0.626654285714286,0.832647,0.59538,0.542036666666667,0.677951111111111,0.711841666666667,0.73714,0.45829,0.511734166666667,0.389283333333333,0.450735,0.43783,0.38642,0.6848,0.440755
"112",112,0.499636111111111,0.625944285714286,0.831882,0.5951,0.541800555555556,0.677740833333333,0.711444444444444,0.73719,0.458221666666667,0.51162,0.389213333333333,0.45061,0.43778,0.38633,0.68504,0.44072
"113",113,0.499573888888889,0.625201428571429,0.831073,0.594839230769231,0.541515,0.677481388888889,0.711025,0.73719,0.458133333333333,0.51152,0.389126666666667,0.45044,0.43767,0.38618,0.68522,0.440685
"114",114,0.499524166666667,0.624414285714286,0.830285,0.594551538461538,0.541242222222222,0.677213333333333,0.710629444444444,0.73719,0.458068333333333,0.511394166666667,0.38903,0.45034,0.43747,0.38604,0.6855,0.440685
"115",115,0.499503333333333,0.623621428571429,0.82941,0.594218461538462,0.540991666666667,0.676918333333333,0.710156666666667,0.7372,0.458005,0.511263333333333,0.388966666666667,0.450305,0.43746,0.38592,0.6858,0.44061
"116",116,0.499444537037037,0.622785714285714,0.828488,0.593872307692308,0.540703333333333,0.676597777777778,0.709656111111111,0.73712,0.457911666666667,0.511125833333333,0.388893333333333,0.45021,0.43743,0.38593,0.68596,0.44042
"117",117,0.499375833333333,0.6219,0.827609,0.593509230769231,0.54042,0.676255833333333,0.709194444444444,0.73705,0.457816666666667,0.510984166666667,0.388846666666667,0.45014,0.43725,0.38591,0.68611,0.440275
"118",118,0.499341851851852,0.620938571428571,0.826611,0.593103846153846,0.540081111111111,0.675834166666667,0.708665,0.73702,0.45771,0.510878333333333,0.388853333333333,0.450045,0.43719,0.38586,0.68636,0.44016
"119",119,0.499275462962963,0.619887142857143,0.825466,0.592640769230769,0.539716111111111,0.675373333333333,0.708088888888889,0.73691,0.457608333333333,0.510725833333333,0.38885,0.449945,0.43708,0.38576,0.68657,0.44003
"120",120,0.499156296296296,0.618778571428571,0.824261,0.592126153846154,0.539318333333333,0.6748925,0.707515,0.73671,0.457501666666667,0.510548333333333,0.388926666666667,0.449795,0.43682,0.38551,0.6867,0.439895
"121",121,0.499068055555556,0.617555714285714,0.82291,0.591566153846154,0.538894444444444,0.674326944444444,0.706827222222222,0.73656,0.457386666666667,0.510364166666667,0.388856666666667,0.449675,0.4367,0.38545,0.68684,0.43978
"122",122,0.499005277777778,0.616261428571429,0.821453,0.590998461538462,0.538457777777778,0.67373,0.706084444444444,0.73632,0.457266666666667,0.510174166666667,0.388646666666667,0.44961,0.43676,0.38554,0.68704,0.43969
"123",123,0.49890712962963,0.614857142857143,0.819796,0.590319230769231,0.537966666666667,0.673010833333333,0.705242777777778,0.7362,0.457146666666667,0.509945833333333,0.388596666666667,0.44947,0.43664,0.38545,0.68715,0.439565
"124",124,0.498803148148148,0.61341,0.818033,0.589613076923077,0.537452222222222,0.672268888888889,0.704323888888889,0.73626,0.45703,0.509706666666667,0.388596666666667,0.44927,0.43645,0.38537,0.68711,0.439435
