"","wavelength","mean_deciduous_reflectance","sitka_mean_reflectance","pasture_mean_reflectance","moss_mean_reflectance","rho_mean_reflectance","grass_mean_reflectance","br_mean_reflectance","ash_mean_reflectance","alder_mean_reflectance","birch_mean_reflectance","beech_mean_reflectance","haz_mean_reflectance","hc_mean_reflectance","lime_mean_reflectance","rowan_mean_reflectance","syc_mean_reflectance"
"68",68000,499.41712962963,637.242857142857,847.415,596.763846153846,546.703888888889,675.828055555556,717.059444444444,733.82,460.356666666667,513.7075,390.85,452.915,440.31,388.94,670.97,442.885
"69",69000,499.446388888889,637.454285714286,847.563,596.93,546.768333333333,676.151111111111,717.211111111111,733.86,460.351666666667,513.7675,390.763333333333,452.905,440.2,388.82,671.47,442.88
"70",70000,499.466203703704,637.577142857143,847.567,597.113076923077,546.822777777778,676.472222222222,717.403888888889,733.92,460.303333333333,513.794166666667,390.763333333333,452.785,440.15,388.68,672.02,442.78
"71",71000,499.503888888889,637.627142857143,847.693,597.297692307692,546.795,676.745555555556,717.529444444444,734.02,460.225,513.786666666667,390.793333333333,452.815,440.13,388.68,672.37,442.715
"72",72000,499.530925925926,637.802857142857,847.918,597.452307692308,546.771666666667,677.040555555556,717.592222222222,734.11,460.188333333333,513.756666666667,390.753333333333,452.89,440.14,388.67,672.51,442.76
"73",73000,499.546759259259,637.931428571429,848.042,597.630769230769,546.785555555556,677.389444444445,717.634444444445,734.18,460.205,513.704166666667,390.756666666667,452.865,440.1,388.61,672.81,442.69
"74",74000,499.576944444444,637.981428571429,848.097,597.762307692308,546.773333333333,677.663611111111,717.625555555555,734.34,460.156666666667,513.664166666667,390.726666666667,452.84,440.06,388.63,673.16,442.615
"75",75000,499.598240740741,638.082857142857,848.135,597.892307692308,546.762222222222,677.937222222222,717.686666666667,734.56,460.128333333333,513.650833333333,390.64,452.765,439.92,388.57,673.55,442.6
"76",76000,499.629259259259,638.105714285714,848.096,598.03,546.74,678.189444444444,717.751111111111,734.67,460.108333333333,513.64,390.6,452.72,439.83,388.55,673.94,442.605
"77",77000,499.682037037037,638.005714285714,847.814,598.146923076923,546.707222222222,678.364722222222,717.847222222222,734.71,460.103333333333,513.676666666667,390.663333333333,452.605,439.72,388.61,674.42,442.63
"78",78000,499.719351851852,637.998571428571,847.689,598.246923076923,546.652222222222,678.563888888889,717.893888888889,734.85,460.05,513.659166666667,390.64,452.52,439.72,388.59,674.81,442.635
"79",79000,499.744907407407,638.041428571429,847.644,598.367692307692,546.567222222222,678.7825,717.954444444444,735,459.966666666667,513.604166666667,390.563333333333,452.435,439.8,388.5,675.13,442.705
"80",80000,499.749907407407,638.022857142857,847.613,598.484615384615,546.497222222222,678.991388888889,717.962777777778,735.05,459.926666666667,513.5675,390.45,452.465,439.77,388.43,675.47,442.62
"81",81000,499.798703703704,637.988571428572,847.413,598.446153846154,546.455555555556,679.173888888889,717.925555555556,735.17,459.913333333333,513.576666666667,390.423333333333,452.515,439.83,388.44,675.79,442.53
"82",82000,499.807037037037,637.99,847.335,598.510769230769,546.438888888889,679.343611111111,717.893333333333,735.55,459.901666666667,513.568333333333,390.313333333333,452.44,439.74,388.21,676.16,442.38
