"","wavelength","hc_mean_reflectance"
"530",530,0.31834
"531",531,0.31915
"532",532,0.31995
"533",533,0.32073
"534",534,0.32151
"535",535,0.3223
"536",536,0.32306
"537",537,0.32382
"538",538,0.32456
"539",539,0.32527
"540",540,0.326
"541",541,0.32673
"542",542,0.32746
"543",543,0.32816
"544",544,0.32883
"545",545,0.32949
"546",546,0.33014
"547",547,0.33082
"548",548,0.33152
"549",549,0.33218
"550",550,0.33283
"551",551,0.33341
"552",552,0.33397
"553",553,0.33455
"554",554,0.33513
"555",555,0.33572
"556",556,0.33633
"557",557,0.3369
"558",558,0.33746
"559",559,0.33803
"560",560,0.33859
"561",561,0.33915
"562",562,0.33971
"563",563,0.34024
"564",564,0.34074
"565",565,0.34124
"566",566,0.34173
"567",567,0.34222
"568",568,0.34272
"569",569,0.34321
"570",570,0.3437
"571",571,0.34415
"572",572,0.34457
"573",573,0.34501
"574",574,0.34545
"575",575,0.34588
"576",576,0.34634
"577",577,0.34677
"578",578,0.34716
"579",579,0.34757
"580",580,0.34797
"581",581,0.34839
"582",582,0.34882
"583",583,0.34924
"584",584,0.34969
"585",585,0.35007
"586",586,0.35042
"587",587,0.35076
"588",588,0.35107
"589",589,0.35141
"590",590,0.35177
"591",591,0.35213
"592",592,0.35249
"593",593,0.35284
"594",594,0.3532
"595",595,0.35352
"596",596,0.35381
"597",597,0.35412
"598",598,0.35439
"599",599,0.35469
"600",600,0.35502
"601",601,0.35532
"602",602,0.35562
"603",603,0.35591
"604",604,0.3562
"605",605,0.35647
"606",606,0.35675
"607",607,0.35701
"608",608,0.35726
"609",609,0.35752
"610",610,0.35778
"611",611,0.35803
"612",612,0.35827
"613",613,0.35851
"614",614,0.35873
"615",615,0.35897
"616",616,0.35925
"617",617,0.35948
"618",618,0.35969
"619",619,0.35991
"620",620,0.3601
"621",621,0.36029
"622",622,0.36049
"623",623,0.36068
"624",624,0.36085
"625",625,0.36102
"626",626,0.36119
"627",627,0.36136
"628",628,0.36151
"629",629,0.36167
"630",630,0.36181
"631",631,0.36197
"632",632,0.36215
"633",633,0.3623
"634",634,0.36244
"635",635,0.36258
"636",636,0.3627
"637",637,0.36284
"638",638,0.36301
"639",639,0.36315
"640",640,0.36328
"641",641,0.3634
"642",642,0.3635
"643",643,0.36359
"644",644,0.36367
"645",645,0.36374
"646",646,0.3638
"647",647,0.36385
"648",648,0.36391
"649",649,0.36394
"650",650,0.36394
"651",651,0.36395
"652",652,0.36397
"653",653,0.36397
"654",654,0.36396
"655",655,0.36394
"656",656,0.36387
"657",657,0.36383
"658",658,0.36379
"659",659,0.36375
"660",660,0.3637
"661",661,0.36366
"662",662,0.3636
"663",663,0.36355
"664",664,0.36348
"665",665,0.36344
"666",666,0.36339
"667",667,0.36336
"668",668,0.36336
"669",669,0.36333
"670",670,0.3633
"671",671,0.36327
"672",672,0.36321
"673",673,0.36318
"674",674,0.36317
"675",675,0.36313
"676",676,0.36308
"677",677,0.36305
"678",678,0.36301
"679",679,0.36295
"680",680,0.36292
"681",681,0.36283
"682",682,0.36269
"683",683,0.36259
"684",684,0.3625
"685",685,0.36238
"686",686,0.36224
"687",687,0.3621
"688",688,0.36191
"689",689,0.36176
"690",690,0.36163
"691",691,0.36148
"692",692,0.36132
"693",693,0.36114
"694",694,0.3609
"695",695,0.36072
"696",696,0.36054
"697",697,0.36035
"698",698,0.36019
"699",699,0.36
"700",700,0.35978
"701",701,0.35956
"702",702,0.35935
"703",703,0.35911
