wavelength,mean_deciduous_reflectance,sitka_mean_reflectance,pasture_mean_reflectance,moss_mean_reflectance,rho_mean_reflectance,grass_mean_reflectance,br_mean_reflectance,ash_mean_reflectance,alder_mean_reflectance,birch_mean_reflectance,beech_mean_reflectance,haz_mean_reflectance,hc_mean_reflectance,lime_mean_reflectance,rowan_mean_reflectance,syc_mean_reflectance
402,0.498651111,0.632598571,0.841874,0.592226923,0.545835556,0.668801389,0.713796111,0.73151,0.460521667,0.512935,0.391353333,0.45321,0.4406,0.38921,0.66523,0.44329
403,0.498738056,0.632994286,0.842371,0.592644615,0.545927778,0.669342778,0.71412,0.73173,0.46055,0.513025833,0.391356667,0.453175,0.44059,0.38907,0.66575,0.443395
404,0.498811759,0.633448571,0.842915,0.593023846,0.546015,0.669882222,0.714412222,0.73204,0.460508333,0.5131925,0.39135,0.453105,0.44059,0.3891,0.66613,0.44329
405,0.498827778,0.633887143,0.843389,0.593388462,0.546113889,0.670414444,0.714706111,0.73216,0.460396667,0.513278333,0.39126,0.453125,0.44048,0.38921,0.66634,0.4432
406,0.498937685,0.634267143,0.843735,0.593774615,0.546156111,0.670893333,0.714955556,0.73234,0.460405,0.513295833,0.391213333,0.453245,0.44068,0.38932,0.66671,0.44323
407,0.499016574,0.63469,0.844171,0.59408,0.546246667,0.671405,0.715176111,0.73249,0.460391667,0.5132825,0.39119,0.45327,0.44082,0.38936,0.66717,0.443175
408,0.499001296,0.634984286,0.844561,0.594416154,0.546412778,0.671940556,0.715402222,0.73246,0.460336667,0.513245,0.3911,0.45322,0.44065,0.38924,0.66762,0.44314
409,0.499028981,0.635264286,0.845058,0.594768462,0.546521667,0.672465278,0.715578333,0.73254,0.460348333,0.513290833,0.391126667,0.45312,0.44064,0.38898,0.66812,0.443095
410,0.49905213,0.635561429,0.845467,0.595041538,0.546576111,0.672949722,0.715769444,0.7326,0.460351667,0.513354167,0.391153333,0.45303,0.44055,0.38886,0.66852,0.44305
411,0.499028981,0.635845714,0.845887,0.595265385,0.546581111,0.673435,0.715979444,0.73264,0.460325,0.5134875,0.391203333,0.45284,0.44029,0.38876,0.66884,0.442875
412,0.499063333,0.636037143,0.84608,0.595535385,0.5466,0.673838611,0.716172222,0.73275,0.460321667,0.513556667,0.391166667,0.452805,0.44,0.38887,0.66924,0.44286
413,0.499173426,0.63629,0.846321,0.595799231,0.546597778,0.674214167,0.716351667,0.73304,0.460321667,0.5135875,0.391146667,0.452855,0.44009,0.38896,0.66962,0.44294
414,0.499250926,0.636544286,0.846599,0.595963846,0.546571667,0.674613889,0.716567222,0.73327,0.460338333,0.513618333,0.391106667,0.45295,0.44008,0.38909,0.66987,0.442935
415,0.499334352,0.636805714,0.846886,0.5962,0.546621667,0.675000556,0.716737778,0.73355,0.460401667,0.513624167,0.391023333,0.453005,0.44007,0.38913,0.67023,0.442975
416,0.499387685,0.637062857,0.847172,0.59652,0.546684444,0.675423889,0.716903333,0.73377,0.460378333,0.5136525,0.390923333,0.452905,0.44029,0.38901,0.6706,0.44296
417,0.49941713,0.637242857,0.847415,0.596763846,0.546703889,0.675828056,0.717059444,0.73382,0.460356667,0.5137075,0.39085,0.452915,0.44031,0.38894,0.67097,0.442885
418,0.499446389,0.637454286,0.847563,0.59693,0.546768333,0.676151111,0.717211111,0.73386,0.460351667,0.5137675,0.390763333,0.452905,0.4402,0.38882,0.67147,0.44288
419,0.499466204,0.637577143,0.847567,0.597113077,0.546822778,0.676472222,0.717403889,0.73392,0.460303333,0.513794167,0.390763333,0.452785,0.44015,0.38868,0.67202,0.44278
420,0.499503889,0.637627143,0.847693,0.597297692,0.546795,0.676745556,0.717529444,0.73402,0.460225,0.513786667,0.390793333,0.452815,0.44013,0.38868,0.67237,0.442715
421,0.499530926,0.637802857,0.847918,0.597452308,0.546771667,0.677040556,0.717592222,0.73411,0.460188333,0.513756667,0.390753333,0.45289,0.44014,0.38867,0.67251,0.44276
422,0.499546759,0.637931429,0.848042,0.597630769,0.546785556,0.677389444,0.717634444,0.73418,0.460205,0.513704167,0.390756667,0.452865,0.4401,0.38861,0.67281,0.44269
423,0.499576944,0.637981429,0.848097,0.597762308,0.546773333,0.677663611,0.717625556,0.73434,0.460156667,0.513664167,0.390726667,0.45284,0.44006,0.38863,0.67316,0.442615
424,0.499598241,0.638082857,0.848135,0.597892308,0.546762222,0.677937222,0.717686667,0.73456,0.460128333,0.513650833,0.39064,0.452765,0.43992,0.38857,0.67355,0.4426
425,0.499629259,0.638105714,0.848096,0.59803,0.54674,0.678189444,0.717751111,0.73467,0.460108333,0.51364,0.3906,0.45272,0.43983,0.38855,0.67394,0.442605
426,0.499682037,0.638005714,0.847814,0.598146923,0.546707222,0.678364722,0.717847222,0.73471,0.460103333,0.513676667,0.390663333,0.452605,0.43972,0.38861,0.67442,0.44263
427,0.499719352,0.637998571,0.847689,0.598246923,0.546652222,0.678563889,0.717893889,0.73485,0.46005,0.513659167,0.39064,0.45252,0.43972,0.38859,0.67481,0.442635
428,0.499744907,0.638041429,0.847644,0.598367692,0.546567222,0.6787825,0.717954444,0.735,0.459966667,0.513604167,0.390563333,0.452435,0.4398,0.3885,0.67513,0.442705
429,0.499749907,0.638022857,0.847613,0.598484615,0.546497222,0.678991389,0.717962778,0.73505,0.459926667,0.5135675,0.39045,0.452465,0.43977,0.38843,0.67547,0.44262
