"","wavelength","rho_mean_reflectance"
"220",220,0.485497777777778
"221",221,0.485812222222222
"222",222,0.486158333333333
"223",223,0.486480555555556
"224",224,0.486808333333333
"225",225,0.487128333333333
"226",226,0.487443888888889
"227",227,0.487756666666667
"228",228,0.488075
"229",229,0.488375555555556
"230",230,0.488665555555556
"231",231,0.488950555555556
"232",232,0.489221666666667
"233",233,0.489494444444444
"234",234,0.489776111111111
"235",235,0.490047222222222
"236",236,0.490285
"237",237,0.490528888888889
"238",238,0.490771111111111
"239",239,0.490998888888889
"240",240,0.491232222222222
"241",241,0.49148
"242",242,0.491707777777778
"243",243,0.491924444444444
"244",244,0.492134444444444
"245",245,0.492331666666667
"246",246,0.492528333333333
"247",247,0.49272
"248",248,0.492902222222222
"249",249,0.493083888888889
"250",250,0.493253333333333
"251",251,0.493410555555556
